id_categoria,dpto_responsable,nombre_categoria,descripcion_categoria,estado
1,UNIDAD DE ALUMBRADO PÚBLICO,ALUMBRADO PÚBLICO DEFECTUOSO,"Reporta aquí si una lámpara de la calle no enciende, parpadea constantemente o permanece encendida durante el día.",ACTIVA
2,UNIDAD DE ALUMBRADO PÚBLICO,SOLICITUD DE NUEVO ALUMBRADO,Utiliza esta opción si tu comunidad necesita la instalación de nuevas lámparas de alumbrado público en zonas oscuras o consideradas inseguras.,ACTIVA
3,CUERPO DE AGENTES MUNICIPALES (CAM),OBSTRUCCIÓN VÍA PÚBLICA,"Utiliza esta opción para reportar talleres, ventas no autorizadas u otros objetos que estén bloqueando calles, aceras o cualquier otro espacio público, impidiendo el libre tránsito.",ACTIVA
4,CUERPO DE AGENTES MUNICIPALES (CAM),VEHÍCULO ABANDONADO,Reporta vehículos que llevan mucho tiempo estacionados en la vía pública sin moverse y que parecen estar abandonados.,ACTIVA
8,GERENCIA DE OBRAS MUNICIPALES,OBRAS EN LA VÍA PÚBLICA SIN SEÑALIZACIÓN,"Reporta obras de construcción o reparación en calles o aceras que no cuentan con la señalización adecuada, representando un peligro.",ACTIVA
9,GERENCIA DE OBRAS MUNICIPALES,DETERIORO DE INFRAESTRUCTURA PÚBLICA,"Utiliza esta opción para reportar daños en puentes peatonales, gradas públicas, muros de contención u otra infraestructura municipal que necesite reparación.",ACTIVA
10,MANTENIMIENTO DE PARQUES Y JARDINES,JUEGOS INFANTILES DETERIORADOS,"Reporta si los juegos infantiles en parques municipales están rotos, inseguros o en mal estado general.",ACTIVA
11,MEDIO AMBIENTE,EVALUACIÓN DE TALA DE ÁRBOL,Utiliza esta opción si necesitas que la municipalidad evalúe un árbol que consideras peligroso (riesgo de caída) o que está causando problemas en tu propiedad o la vía pública.,ACTIVA
12,MEDIO AMBIENTE,BASURA EN LUGARES PROHIBIDOS,Utiliza esta opción si detectas lugares donde se está acumulando basura de forma ilegal o en sitios no autorizados.,ACTIVA
13,MEDIO AMBIENTE,QUEMA DE DESECHOS,"Reporta si alguien está quemando basura o residuos al aire libre, generando humo y contaminación.",ACTIVA
14,PROTECCIÓN CIVIL,PELIGRO DE DERRUMBE,"Reporta si observas taludes, terrenos o construcciones con alto riesgo de derrumbe o deslizamiento, que puedan poner en peligro a personas o propiedades. También informa si ya ocurrió un deslizamiento.",ACTIVA
15,PROTECCIÓN CIVIL,ÁRBOL O RAMA PELIGROSA,Utiliza esta opción para solicitar la poda urgente de árboles o ramas que representan un riesgo inminente de caída.,ACTIVA
16,PROTECCIÓN CIVIL,INESTABILIDAD DE TERRENO,"Reporta si observas bordos o terrenos que parecen inestables y con riesgo de derrumbarse, especialmente durante o después de lluvias.",ACTIVA
19,UNIDAD DE CONTRAVENCIONAL,MOLESTIAS POR RUIDO,"Reporta ruidos excesivos provenientes de vecinos, negocios (como talleres) u otras fuentes que alteren la tranquilidad, especialmente fuera de los horarios permitidos. También puedes reportar olores desagradables asociados a estas actividades.",ACTIVA
20,UNIDAD DE CONTRAVENCIONAL,VERTIMIENTO DE AGUAS RESIDUALES,"Utiliza esta opción si un vecino o establecimiento está vertiendo aguas sucias (grises o negras) directamente a la calle, tu propiedad o un drenaje pluvial, causando contaminación u olores desagradables.",ACTIVA
21,UNIDAD DE CONTRAVENCIONAL,INFRACCIONES MUNICIPALES,"Reporta aquí otras situaciones que consideras que incumplen las normas de la municipalidad, como disposición inadecuada de basura (no orgánica), obstrucción de tragantes con desechos, olores molestos generales (no de taller/comercio específico).",ACTIVA
22,UNIDAD DE CONTRAVENCIONAL,CONFLICTOS ENTRE VECINOS,"Reporta problemas o desacuerdos con vecinos que no se ajustan a otras categorías específicas, como obstrucción de paso, problemas con límites de propiedad (sin invasión), o situaciones que afectan la convivencia.",ACTIVA
23,UNIDAD DE CONTRAVENCIONAL,VENTA ILEGAL DE ALCOHOL,Reporta si tienes conocimiento de lugares o personas que venden bebidas alcohólicas sin los permisos correspondientes.,ACTIVA
24,UNIDAD DE CONTRAVENCIONAL,ESCOMBROS EN LA VÍA PÚBLICA,"Reporta la presencia de escombros, tierra o ripio acumulados en calles o lugares no permitidos.",ACTIVA
