cod_dpto,nombre_dpto,codigo_direccion,nombre_direccion,estado
0101-01,"Concejo Municipal",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-10,"Unidad De Auditoría Interna",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-11,"Despacho Municipal",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-12,"Gerencia De Compras",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-13,"Unidad De Gestión De Riesgos",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-14,"Unidad De Medio Ambiente",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-15,"Gerencia De Asuntos Estratégicos Municipales",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-16,"Gerencia Legal",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-17,"Dirección De Gabinetes e Innovacion Municipal",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-18,"Cuerpo De Agentes Municipales",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-19,"Gerencia De Comunicaciones",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-02,"Sindicatura Municipal",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0101-20,"Unidad De Protocolo",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0102-01,"Direccion Ejecutiva",0102,"Direccion Ejecutiva",activo
0102-02,"Gerencia De Planificación",0102,"Direccion Ejecutiva",activo
0102-03,"Gerencia De Cooperación Y Relaciones Externas",0102,"Direccion Ejecutiva",activo
0102-04,"Gerencia De Tecnologia De La Informacion",0102,"Direccion Ejecutiva",activo
0103-01,"Direccion Distrital",0103,"Direccion Distrital",activo
0103-02,"Unidad De Control De Bienes",0103,"Direccion Distrital",activo
0103-03,"Coordinacion Distrital",0103,"Direccion Distrital",activo
0103-04,"Unidad De Mantenimiento Interno",0103,"Direccion Distrital",activo
0103-05,"Administracion De Cementerios",0103,"Direccion Distrital",activo
0103-01/05,"Jefatura Distrito Santo Tomás",0103,"Direccion Distrital",activo
0101-03,"Unidad De Mediación Municipal",0101,"Dirección De Gabinetes e Innovacion Municipal",activo
0103-06,"Unidad De Enlace Social Comunitario",0103,"Direccion Distrital",activo
0103-07,"Unidad De Dinamizacion De Espacios Publicos Municipales",0103,"Direccion Distrital",activo
0103-08,"Unidad De Alumbrado Publico",0103,"Direccion Distrital",activo
0103-09,"Unidad De Mantenimiento De Parques Y Jardines",0103,"Direccion Distrital",activo
0104-01,"Direccion De Finanzas Y Gestion Tributaria",0104,"Dirección De Finanzas Y Gestion Tributaria",activo
0104-02,"Gerencia Financiera Institucional",0104,"Dirección De Finanzas Y Gestion Tributaria",activo
0104-03,"Tesoreria",0104,"Dirección De Finanzas Y Gestion Tributaria",activo
0104-04,"Unidad De Presupuesto Municipal",0104,"Dirección De Finanzas Y Gestion Tributaria",activo
0104-05,"Unidad De Contabilidad Municipal",0104,"Dirección De Finanzas Y Gestion Tributaria",activo
0104-06,"Gerencia De Administración Tributaria Municipal",0104,"Dirección De Finanzas Y Gestion Tributaria",activo
